País,Clics,Impresiones,CTR,Posición
España,79,15795,0.5%,43.85
Argentina,1,30,3.33%,27.8
Colombia,1,15,6.67%,25.87
El Salvador,1,7,14.29%,4.57
Ecuador,1,5,20%,32.8
Suiza,1,3,33.33%,3
Estados Unidos,0,159,0%,13.43
México,0,58,0%,23.67
Reino Unido,0,53,0%,27.96
Brasil,0,25,0%,49.32
La India,0,25,0%,57.84
Francia,0,18,0%,25.17
Alemania,0,16,0%,28.81
Filipinas,0,14,0%,40.43
Chile,0,13,0%,14.85
Perú,0,13,0%,15.92
Italia,0,13,0%,36.38
Bolivia,0,11,0%,12.82
Andorra,0,10,0%,9.3
Países Bajos,0,10,0%,23.7
Bangladés,0,10,0%,63.4
Turquía,0,9,0%,22.22
Polonia,0,8,0%,17.12
Bélgica,0,8,0%,28
Portugal,0,7,0%,10.71
Vietnam,0,7,0%,34.14
Marruecos,0,6,0%,8.67
Corea del Sur,0,6,0%,21.33
Indonesia,0,6,0%,37.33
Arabia Saudí,0,6,0%,58.83
Pakistán,0,5,0%,47.6
Nigeria,0,5,0%,89.4
Rumanía,0,4,0%,12.25
Ucrania,0,4,0%,15.75
Canadá,0,4,0%,35.25
Jordania,0,4,0%,44.25
Egipto,0,4,0%,68.75
Nepal,0,4,0%,78
Dinamarca,0,3,0%,12.33
Malasia,0,3,0%,22.33
Austria,0,3,0%,31
Venezuela,0,3,0%,35
Argelia,0,3,0%,40
Túnez,0,3,0%,42.67
Guatemala,0,3,0%,63
Chequia,0,2,0%,4.5
Irlanda,0,2,0%,7
República Dominicana,0,2,0%,11
Lituania,0,2,0%,11
Uruguay,0,2,0%,11.5
Honduras,0,2,0%,12
Suecia,0,2,0%,27.5
Japón,0,2,0%,34.5
Costa de Marfil,0,2,0%,39
Bielorrusia,0,2,0%,40
Hungría,0,2,0%,44.5
Rusia,0,2,0%,72.5
Mauricio,0,1,0%,2
Noruega,0,1,0%,2
Croacia,0,1,0%,3
Kenia,0,1,0%,3
Australia,0,1,0%,5
Bahréin,0,1,0%,5
Armenia,0,1,0%,6
Paraguay,0,1,0%,6
Finlandia,0,1,0%,7
Israel,0,1,0%,7
Eslovaquia,0,1,0%,7
China,0,1,0%,10
Panamá,0,1,0%,11
Costa Rica,0,1,0%,19
Siria,0,1,0%,29
Nueva Zelanda,0,1,0%,31
Sudáfrica,0,1,0%,33
Jamaica,0,1,0%,35
Senegal,0,1,0%,36
Bulgaria,0,1,0%,38
Malí,0,1,0%,40
Iraq,0,1,0%,53
Moldavia,0,1,0%,57
Macedonia del Norte,0,1,0%,66
Malta,0,1,0%,72
Región desconocida,0,1,0%,74
Grecia,0,1,0%,90
